open,high,low,close,volume,Time,Avg Price,5-MA,8-MA,13-MA,21-MA,55-MA,89-MA,150-MA,200-MA,5/8Cross,5/13Cross,5/21Cross,5/55Cross,5/89Cross,5/150Cross,5/200Cross,8/13Cross,8/21Cross,8/55Cross,8/89Cross,8/150Cross,8/200Cross,13/21Cross,13/55Cross,13/89Cross,13/150Cross,13/200Cross,21/55Cross,21/89Cross,21/150Cross,21/200Cross,55/89Cross,55/150Cross,55/200Cross,89/150Cross,89/200Cross,150/200Cross,label
215.37599999999998,215.6,215.00599999999997,215.00603999999998,417005,1420,215.303,215.232,215.105,215.032,215.052,212.745,208.504,205.594,203.768,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
215.00599999999997,215.29,214.8,215.13400000000001,371655,1425,215.045,215.24,215.141,215.088,214.994,212.934,208.671,205.693,203.858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
215.24200000000002,215.8,214.946,215.798,447250,1430,215.373,215.099,215.162,215.141,214.957,213.098,208.834,205.788,203.946,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
215.76717999999997,216.33597999999998,215.46200000000002,216.2464,640845,1435,215.899,215.16,215.235,215.179,214.975,213.282,208.997,205.88,204.037,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
216.3,216.78599999999997,216.22802000000001,216.55200000000002,817095,1440,216.507,215.354,215.315,215.216,215.046,213.448,209.162,205.973,204.131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
216.521,216.822,216.084,216.46602000000001,687110,1445,216.453,215.625,215.41,215.305,215.174,213.612,209.335,206.072,204.228,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
216.51004,216.998,216.34202000000002,216.952,590970,1450,216.67,215.855,215.582,215.416,215.259,213.778,209.505,206.171,204.323,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
216.952,217.128,216.708,217.00202000000002,682340,1455,216.918,216.18,215.8,215.554,215.314,213.952,209.667,206.271,204.419,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
217.00202000000002,217.09197999999998,216.3,216.5814,583195,1500,216.696,216.489,216.021,215.717,215.409,214.12,209.826,206.37,204.515,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
216.468,216.58198,215.292,216.002,817725,1505,215.937,216.649,216.195,215.828,215.51,214.266,209.984,206.469,204.607,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
